index,actor,detail
366,John Cleese,Wait. Who sent you?
367,John Cleese,She didn't have a duelling scar just here ... and a hook?
368,John Cleese,Of course not* I was thinking of somebody else. Good morning.
369,John Cleese,What* where? You didn't see anything did you?
370,John Cleese,No no* well there's nothing going on here at all
371,John Cleese,and he didn't see anything. Good morning.
372,John Cleese,Look there is nothing going on. Please believe me* there is abso...
373,John Cleese,. . . lutely nothing going on. Is there anything going on?
374,John Cleese,See there's nothing going on.
375,John Cleese,That was my aunt* look what was this book you wanted then? Quickly! Quickly!
376,John Cleese,My God you've got guts.
377,John Cleese,Just how much do you know?
378,John Cleese,Are you from the British Dental Association?
379,John Cleese,Get away from that door.
380,John Cleese,Stay where you are. You'll never leave this bookshop alive.
381,John Cleese,You know too much* my dental friend.
382,John Cleese,Come clean. You're a dentist aren't you.
383,John Cleese,A tobacconist who just happens to be buying a book on ...teeth?
384,John Cleese,Ha ha ha ha...
385,Michael Palin,Drop that gun* Stapleton.
386,John Cleese,Lafarge!
387,John Cleese,No there isn't.
388,Michael Palin,OK Stapleton* this is it. Where's Mahoney hidden the fillings?
389,John Cleese,What fillings?
390,Michael Palin,You know which fillings* Stapleton. Upper right two and four* lower right three and two lower left one. Come on.
391,Michael Palin,Remember what happened to Nigel.
392,John Cleese,Orthodontic Jake gave him a gelignite mouth wash.
393,John Cleese,Well there isn't.
394,Michael Palin,Come on Stapleton. The fillings!
395,John Cleese,They're at 22 Wimpole Street.
396,Michael Palin,Don't play games with me!
397,John Cleese,Oh* oh* 22a Wimpole Street.
398,Michael Palin,That's better.
399,John Cleese,But you'll need an appointment.
400,Michael Palin,OK
401,Michael Palin,Brian! Make with the appointment baby. No gas.
402,Michael Palin,Van der Berg!
403,John Cleese,That's Van der Berg. He's on our side.
404,John Cleese,Me?
405,John Cleese,You dirty double-crossing rat.
406,John Cleese,He's two-timed me.
407,John Cleese,The five seconds haven't started yet have they?
408,Michael Palin,Bronski?
409,Michael Palin,It's...
410,John Cleese,MONTY PYTHON'S FLYING CIRCUS'
411,Michael Palin,Oh good* that'll be the Vet* dear.
412,Michael Palin,Oh very glad indeed you could come round* sir.
413,Michael Palin,Well...
414,Michael Palin,Oh* no!
415,Michael Palin,And at night.
416,Michael Palin,And his milk.
417,Michael Palin,Well we ...
418,Michael Palin,Sh! What?
419,Michael Palin,Confuse-a-Cat Limited'.'
420,Michael Palin,Squad! Eyes front! Stand at ease. Cat confusers ...shun!
421,John Cleese,Well men* we've got a pretty difficult cat to confuse today so let's get straight on with it. Jolly good. Thank you sergeant.
422,Michael Palin,Confusers attend to the van and fetch out... wait for it... fetch out the funny things.
423,Michael Palin,Move* move* move. One* two* one* two* get those funny things off.
424,Michael Palin,Stage ready for confusing* sir!
425,John Cleese,Very good. Carry on* sergeant.
426,Michael Palin,Left turn* double march!
427,John Cleese,Right men* confuse the ... cat!
428,John Cleese,I hope to God it works. Anyway* we shall know any minute now.
429,Michael Palin,Neither can I. It's just like the old days.
430,Michael Palin,What can we ever do to repay you?
431,John Cleese,No need to* sir. It's all in a day's work for 'Confuse-a-Cat'.
432,John Cleese,Have you read this* sir?
433,Michael Palin,No! Oh* yes* yes - yes.
434,John Cleese,Anything to declare?
435,Michael Palin,Yes ... no! No! No! No! Nothing to declare* no* nothing in my suitcase no...
436,John Cleese,No watches* cameras* radio sets?
437,Michael Palin,Oh yes ... four watches ... no* no* no. No. One... one watch...No* no. Not even one watch. No* no watches at all. No* no watches at all. No precision watches* no.
438,John Cleese,Which country have you been visiting* sir?
439,Michael Palin,Switzerland ... er ... no ... no ... not Switzerland ... er ... not Switzerland* it began with S but it wasn't Switzerland... oh what could it be? Terribly bad memory for names. What's the name of that country where they don't make watches at all?
440,John Cleese,Spain?
441,Michael Palin,Spain! That's it. Spain* yes* mm.
442,John Cleese,The label says 'Zurich'* sir.
443,Michael Palin,Yes well ... it
444,Michael Palin,Spain then.
445,John Cleese,Zurich's in Switzerland* sir.
446,Michael Palin,Switzerland* yes mm ... mm ... yes.
447,John Cleese,Switzerland - where they make the watches.
448,Michael Palin,Oh* nice shed you've got here.
449,John Cleese,Have you* er* got any Swiss currency* sir?
450,Michael Palin,No... just the watches... er just my watch* er* my watch on the currency... I've kept a watch on the currency* and I've watched it and I haven't got any.
451,John Cleese,That came out a bit glib didn't it?
452,John Cleese,Have you got an alarm clock in there* sir?
453,Michael Palin,No* no* heavens no* no... just vests.
454,John Cleese,Sounded a bit like an alarm going off.
455,Michael Palin,Well it can't have been... it must be a vest* er* going off.
456,John Cleese,Going off?
457,Michael Palin,All right* I confess* I'm a smuggler ... This whole case is crammed full of Swiss watches and clocks. I've been purposely trying to deceive Her Majesty's Customs and Excise. I've been a bloody fool.
458,John Cleese,I don't believe you* sir.
459,Michael Palin,It's true. I'm* er* guilty of smuggling.
460,John Cleese,Don't give me that* sir ... you couldn't smuggle a piece of greaseproof paper let alone a case full of watches.
461,Michael Palin,What do you mean! I've smuggled watches before* you know! I've smuggled bombs* cameras* microfilms* aircraft components* you name it - I've smuggled it.
462,John Cleese,Now come along please* you're wasting our time... move along please.
463,Michael Palin,Look!
464,Michael Palin,Look - look at this.
465,John Cleese,Look* for all I know* sir* you could've bought these in London before you ever went to Switzerland.
466,Michael Palin,What? I wouldn't buy two thousand clocks.
467,John Cleese,People do* now close your case move along please come on. Don't waste our time* we're out to catch the real smugglers. Come on.
468,John Cleese,Right* cut the wisecracks* vicar. Get to the search room* and strip.
469,John Cleese,Well* er* speaking
470,John Cleese,Wagh!
471,Michael Palin,What was the question again?
472,John Cleese,Just how relevant are contemporary customs regulations and currency restrictions in a modern expanding industrial economy?
473,John Cleese,Oh never mind.
474,John Cleese,I mean if I want to eat a squirrel now and again* that's me own business* innit? I mean* I'm no racialist. I* oh* oh...
475,John Cleese,Dear Freddy Grisewood* Bagshot* Surrey. As a prolific letter-writer* I feel I must protest about the previous letter. I am nearly sixty and am quite mad* but I do enjoy listening to the BBC Home Service. If this continues to go on unabated ...Dunkirk... dark days of the war... backs to the wall... Alvar Liddell ... Berlin air lift ... moral upheaval of Profumo case ... young hippies roaming the streets* raping* looting and killing. Yours etc.* Brigadier Arthur Gormanstrop (Mrs).
476,Michael Palin,Well that's* er* very interesting* because* er* I am* in fact* made entirely of wood.
477,John Cleese,Well I think they should attack the lower classes* er* first with bombs* and rockets destroying their homes* and then when they run helpless into the streets* er* mowing them down with machine guns. Er* and then of course releasing the vultures. I know these views aren't popular* but I have never courted popularity.
478,Michael Palin,I think there should be more race prejudice.
479,Michael Palin,Less race prejudice.
480,John Cleese,You know I really enjoy interviewing applicants for this management training course.
481,John Cleese,Ah. Come and sit down.
482,John Cleese,Take a seat.
483,John Cleese,Good morning.
484,John Cleese,Tell me why did you say 'good morning' when you know perfectly well that it's afternoon?
485,John Cleese,Good afternoon.
486,John Cleese,Oh dear.
487,John Cleese,Good evening.
488,John Cleese,Ha* ha. No.
489,John Cleese,Why do you think I rang the bell?
490,John Cleese,Five* four* three* two* one* zero!
491,John Cleese,Too late!
492,John Cleese,Goodnight* ding-ding-ding-ding-ding. Goodnight. Ding-ding-ding-ding-ding-ding-ding.
493,John Cleese,Yes. Yes it is. Goodnight. Ding* ding* ding* ding* ding* ding* ding* ding.
494,John Cleese,Why do you say that?
495,John Cleese,Do you say it because you didn't know?
496,John Cleese,Five* four* three* two* one* zero! Right!
497,John Cleese,Well why do you think I did that then?
498,John Cleese,Aren't you curious?
499,John Cleese,Well* why didn't you ask me?
500,John Cleese,Name?
501,John Cleese,Your name man* your name!
502,John Cleese,David. Sure?
503,John Cleese,David Shaw.
504,John Cleese,Thomas Shaw?
505,John Cleese,Goodnight. Ding-ding-ding-ding-ding- ding-ding-ding. Goodnight. Ding-ding-ding-ding-ding-ding-ding-ding-ding.
506,John Cleese,Well do something. Goodnight. Ding-ding-ding-ding-ding* five* four* three* two* one . . .
507,John Cleese,Good!
508,John Cleese,Very good - do it again.
509,John Cleese,Goodnight* ding-ding-ding-ding-ding-ding.
510,John Cleese,You've got very good marks.
511,John Cleese,good marks.
512,John Cleese,Er* well* I'm afraid not. I'm afraid all the vacancies were filled several weeks ago.
513,Michael Palin,Well that was all good fun* and we all had a jolly good laugh* but I would like to assure you that you'd never be treated like that if you had an interview here at the Careers Advisory Board. Perhaps I should introduce myself. I am the Head of the Careers Advisory Board. I wanted to be a doctor* but there we are* I'm Head of the Careers Advisory Board.
